Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,,,win team,lose team,Wloc
Sat Nov 5 2016,7:00 PM,Washington Wizards,86,Orlando Magic,88,Box Score,,18846,,,-2,,Orlando Magic,Washington Wizards,H
Sat Nov 5 2016,7:00 PM,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,20497,,,1,,Cleveland Cavaliers,Philadelphia 76ers,V
Sat Nov 5 2016,8:30 PM,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,18418,,,24,,Los Angeles Clippers,San Antonio Spurs,V
Sun Nov 6 2016,7:30 PM,Denver Nuggets,123,Boston Celtics,107,Box Score,,17452,,,16,,Denver Nuggets,Boston Celtics,V
Sun Nov 6 2016,7:00 PM,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,19345,,,-11,,Dallas Mavericks,Milwaukee Bucks,H
Sun Nov 6 2016,9:30 PM,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,18997,,,-11,,Los Angeles Lakers,Phoenix Suns,H
Sun Nov 6 2016,3:30 PM,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,16233,,,6,,Portland Trail Blazers,Memphis Grizzlies,V
Sun Nov 6 2016,12:00 PM,Utah Jazz,114,New York Knicks,109,Box Score,,19812,,,5,,Utah Jazz,New York Knicks,V
Sun Nov 6 2016,6:00 PM,Sacramento Kings,96,Toronto Raptors,91,Box Score,,19800,,,5,,Sacramento Kings,Toronto Raptors,V
Mon Nov 7 2016,8:00 PM,Orlando Magic,80,Chicago Bulls,112,Box Score,,21320,,,-32,,Chicago Bulls,Orlando Magic,H
Mon Nov 7 2016,7:00 PM,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,16880,,,-22,,Charlotte Hornets,Indiana Pacers,H
Mon Nov 7 2016,10:30 PM,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,19596,,,-10,,Golden State Warriors,New Orleans Pelicans,H
Mon Nov 7 2016,10:30 PM,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,19060,,,-32,,Los Angeles Clippers,Detroit Pistons,H
Mon Nov 7 2016,8:00 PM,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,18203,,,-12,,Oklahoma City Thunder,Miami Heat,H
Mon Nov 7 2016,7:00 PM,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,14168,,,25,,Utah Jazz,Philadelphia 76ers,V
Mon Nov 7 2016,7:00 PM,Houston Rockets,114,Washington Wizards,106,Box Score,,13173,,,8,,Houston Rockets,Washington Wizards,V
Tue Nov 8 2016,7:30 PM,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,13610,,,-9,,Brooklyn Nets,Minnesota Timberwolves,H
Tue Nov 8 2016,7:00 PM,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,20562,,,4,,Atlanta Hawks,Cleveland Cavaliers,V
Tue Nov 8 2016,10:30 PM,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,,,12,,Dallas Mavericks,Los Angeles Lakers,V
Tue Nov 8 2016,8:00 PM,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,15109,,,-1,,Memphis Grizzlies,Denver Nuggets,H
Tue Nov 8 2016,10:00 PM,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,,,-3,,Portland Trail Blazers,Phoenix Suns,H
Tue Nov 8 2016,10:30 PM,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,,,-8,,Sacramento Kings,New Orleans Pelicans,H
Wed Nov 9 2016,7:30 PM,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,,,-8,,Atlanta Hawks,Chicago Bulls,H
