Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Sat Oct 28 2017,8:30 PM,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,19567,,,Philadelphia 76ers,Dallas Mavericks
Sat Oct 28 2017,10:30 PM,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,17247,,,Detroit Pistons,Los Angeles Clippers
Sat Oct 28 2017,8:00 PM,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,17033,,,Houston Rockets,Memphis Grizzlies
Sat Oct 28 2017,8:00 PM,Boston Celtics,96,Miami Heat,90,Box Score,,19600,,,Boston Celtics,Miami Heat
Sat Oct 28 2017,7:00 PM,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,18539,,,Cleveland Cavaliers,New Orleans Pelicans
Sat Oct 28 2017,10:00 PM,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,19343,,,Phoenix Suns,Portland Trail Blazers
Sat Oct 28 2017,9:00 PM,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,18306,,,Los Angeles Lakers,Utah Jazz
Sun Oct 29 2017,3:30 PM,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,14014,,,Milwaukee Bucks,Atlanta Hawks
Sun Oct 29 2017,6:00 PM,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,14854,,,Denver Nuggets,Brooklyn Nets
Sun Oct 29 2017,6:00 PM,Orlando Magic,113,Charlotte Hornets,120,Box Score,,15531,,,Orlando Magic,Charlotte Hornets
Sun Oct 29 2017,7:00 PM,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,20562,,,New York Knicks,Cleveland Cavaliers
Sun Oct 29 2017,8:30 PM,Detroit Pistons,115,Golden State Warriors,107,Box Score,,19596,,,Detroit Pistons,Golden State Warriors
Sun Oct 29 2017,4:30 PM,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,15013,,,San Antonio Spurs,Indiana Pacers
Sun Oct 29 2017,6:00 PM,Washington Wizards,110,Sacramento Kings,83,Box Score,,17583,,,Washington Wizards,Sacramento Kings
